id,Tipo, Asignatura,GRUPO,PE,SEMESTRE,Horas a la semana,Modalidad,Créditos,MODELO,NOMBRE(S),APELLIDOS,LIC MEFI,LCC MEFI,LIS MEFI,LA MEFI,LEM MEFI,LM cupo,CUPO MAX,Lunes,Aula1,Martes,Aula2,Miércoles,Aula3,Jueves,Aula4,Viernes,Aula5,Actualizado
ARQ-1,Obligatoria,Análisis y crítica de la arquitectura a través de la historia A,A-MEFI,ARQ,,,Regular,6,MEFI,GLADYS NOEMÍ,ARANA LÓPEZ,,,,,,,,15:00 - 18:00,VIRTUAL,,,,,,,,,
ARQ-2,Obligatoria,Análisis y crítica de la arquitectura a través de la historia A,C-MEFI,ARQ,,,Regular,6,MEFI,GLADYS NOEMÍ,ARANA LÓPEZ,,,,,,,,15:00 - 18:00,VIRTUAL,,,,,,,,,
ARQ-3,Obligatoria,Análisis y crítica de la arquitectura a través de la historia A,D-MEFI,ARQ,,,Regular,6,MEFI,ROSANGELA,BRAVO CHANG,,,,,,,,7:00 - 10:00,48 C,,,,,,,,,
ARQ-4,Obligatoria,Análisis y crítica de la arquitectura a través de la historia A,B-MEFI,ARQ,,,Regular,6,MEFI,GRACIELA DEL CARMEN,PERAZA CONTRERAS,,,,,,,,10:00 - 13:00,MUSEO 2,,,,,,,,,
ARQ-5,Obligatoria,Análisis y crítica de la arquitectura a través de la historia A,ACO,ARQ,,,Regular,6,MEFI,GLADYS NOEMÍ,ARANA LÓPEZ,,,,,,,,21:00 - 22:00,sala de maestros - convento,,,,,,,,,
ARQ-6,Obligatoria,Análisis y crítica de la arquitectura a través de la historia B,B-MEFI,ARQ,,,Regular,6,MEFI,ELVIA MARIA,GONZALEZ CANTO,,,,,,,,7:00 - 10:00,AULA VERDE,,,,,,,,,
ARQ-7,Obligatoria,Análisis y crítica de la arquitectura a través de la historia B,D-MEFI,ARQ,,,Regular,6,MEFI,FERNANDO,CAMPOS SANTOYO,,,,,,,,7:00 - 10:00,48 C,,,,,,,,,
ARQ-8,Obligatoria,Análisis y crítica de la arquitectura a través de la historia B,ACOM,ARQ,,,Regular,6,MEFI,ELVIA MARIA,GONZALEZ CANTO,,,,,,,,21:00 - 22:00,sala de maestros - convento,,,,,,,,,
ARQ-9,Obligatoria,Análisis y crítica de la arquitectura a través de la historia B,A-MEFI,ARQ,,,Regular,6,MEFI,GLADYS NOEMÍ,ARANA LÓPEZ,,,,,,,,15:00 - 18:00,VIRTUAL,,,,,,,,,
ARQ-10,Obligatoria,Análisis y crítica de la arquitectura a través de la historia B,C-MEFI,ARQ,,,Regular,6,MEFI,CINDY JANET,ARCILA GONZALEZ,,,,,,,,7:00 - 10:00,VIRTUAL,,,,,,,,,
ARQ-11,Obligatoria,Análisis y crítica de la arquitectura a través de la historia C,C-MEFI,ARQ,,,Regular,6,MEFI,RUBI ELINA,RUIZ Y SABIDO,,,,,,,,13:00 - 16:00,57-3,,,,,,,,,
