PROPUESTA PERIODO: ENERO-MAYO 2025,,,,,,CONSIDERACIONES ,,HORARIO,,,,,
MODALIDAD ,ASIGNATURAS,CREDITOS ,GRUPO,SALA,DOCENTE,DINAMICA,NOTAS ,LUNES ,MARTES ,MIERCOLES ,JUEVES,VIERNES,SABADO 
OBLIGATORIA ,Cultura Maya ,6 ,A,13,ROSS EK,Jueves presencial de corrido,Ningún antecedente,,,,8:30-11:30,,
OBLIGATORIA ,Cultura Maya ,6,B,15,ROSS EK,Viernes presencial de corrido,Ningún antecedente,,,,,10:00-13:00,
OBLIGATORIA ,Aprendizaje ,5 ,A,1,MARIO S.,Martes y jueves presencial,Ningún antecedente,,8:00- 10:00,,8:00- 10:00,,
OBLIGATORIA ,Aprendizaje ,5,B,2,MARIO S.,Martes y jueves presencial,Ningún antecedente,,10:00- 12:00,,10:00- 12:00,,
OBLIGATORIA ,Aprendizaje ,5,C,3,MARIO S.,Lunes y miércoles presencial,Ningún antecedente,12:00-14:00,,12:00-14:00,,,
OBLIGATORIA ,Aprendizaje ,5,D,4,ALFONSO G.,Martes y jueves presencial,Ningún antecedente,,8:00- 10:00,,8:00- 10:00,,
OBLIGATORIA ,Aprendizaje ,5,E,5,ALFONSO G.,Martes y jueves presencial,Ningún antecedente,,10:00- 12:00,,10:00- 12:00,,
OBLIGATORIA ,Motivación y emoción ,5 ,A,1,ANA C.,Martes y jueves presencial,Ningún antecedente,,10:00- 12:00,,10:00- 12:00,,
OBLIGATORIA ,Motivación y emoción ,5,B,2,ANA C.,Martes y jueves presencial,Ningún antecedente,,8:00- 10:00,,8:00- 10:00,,
OBLIGATORIA ,Motivación y emoción ,5,C,3,GABY M.,Martes y jueves presencial,Ningún antecedente,,8:00- 10:00,,8:00- 10:00,,
OBLIGATORIA ,Motivación y emoción ,5,D,4,GABY M.,Lunes y miércoles presencial,Ningún antecedente,10:00- 12:00,,10:00- 12:00,,,
OBLIGATORIA ,Motivación y emoción ,5,E,5,GABY M.,Lunes y miércoles presencial,Ningún antecedente,8:00- 10:00,,8:00- 10:00,,,
OBLIGATORIA ,Habilidades clínicas básicas del psicólogo ,6 ,A,1,SILVIA A.,Lunes y miércoles presencial,1 antecedente: Introducción a la psicología,10:00- 12:00,,10:00- 12:00,,,
